	mean rt	sem	std
negative_incongruent_incorrect	0.2611488655821918	0.0026538649990260183	0.07170348377959343
baseline_congruent_incorrect	0.3580729166666667	0.013464394634277604	0.10687031926899303
positive_congruent_incorrect	0.3658533230633803	0.015616465512351107	0.13158667733471371
negative_congruent_incorrect	0.3505859375	0.013149571875324999	0.10601523773864766
baseline_negative_first_incongruent_correct	0.3282316000971612	0.0015108628668717347	0.08218594062717458
2.Block_positive_negative_first_incongruent_correct	0.32424463310351004	0.0014535091210290904	0.07680251969591888
1.Block_negative_negative_first_incongruent_correct	0.32438880146934995	0.0013787437274810437	0.07512572020258342
baseline_negative_first_congruent_correct	0.4067536690526518	0.0015512290537921809	0.07912788840990273
2.Block_positive_negative_first_congruent_correct	0.39725316663302385	0.0015196501501345211	0.07563218035794812
1.Block_negative_negative_first_congruent_correct	0.39983137156072107	0.0015563430324297104	0.0798905912930381
baseline_positive_first_incongruent_correct	0.3204544085483393	0.001549254816897439	0.08996356109257059
1.Block_positive_positive_first_incongruent_correct	0.3099606472882615	0.0014419732656518957	0.08364687928815023
2.Block_negative_positive_first_incongruent_correct	0.31399407566518844	0.0014864863629218703	0.08352148747167427
baseline_positive_first_congruent_correct	0.39307811444613305	0.0015419343051647917	0.08390446537387489
1.Block_positive_positive_first_congruent_correct	0.36872552030829975	0.0011784652237207954	0.06428849137873317
2.Block_negative_positive_first_congruent_correct	0.3693463440587509	0.0012644169708431981	0.06731165042269371
baseline_positive_first_incongruent_incorrect	0.3875668174342105	0.017110803714639657	0.10547807802057826
1.Block_positive_positive_first_incongruent_incorrect	0.38366386217948717	0.026298841058974634	0.1642362097734942
2.Block_negative_positive_first_incongruent_incorrect	0.36083984375	0.026254156374224867	0.13892393729600044
baseline_negative_first_congruent_incorrect	0.27046285565856776	0.0038042120273012905	0.07522342319469079
2.Block_positive_negative_first_congruent_incorrect	0.2638254915730337	0.0030784642073481178	0.05808434649566746
1.Block_negative_negative_first_congruent_incorrect	0.26756742294520547	0.0040251651412770515	0.07690067204720284
baseline_negative_first_incongruent_incorrect	0.3132421875	0.01884894479619517	0.09424472398097586
2.Block_positive_negative_first_incongruent_incorrect	0.344146728515625	0.012684544192086769	0.07175461771587993
1.Block_negative_negative_first_incongruent_incorrect	0.34282622466216217	0.012038559545734967	0.07322769892356061
baseline_positive_first_congruent_incorrect	0.2541380148329493	0.003325441162547335	0.06927780722348861
1.Block_positive_positive_first_congruent_incorrect	0.2491935784606205	0.0026653113735679765	0.054557563150049795
2.Block_negative_positive_first_congruent_incorrect	0.2547303082191781	0.0034325470348270724	0.06557871902072765
