subj	amount	mean_rt	sem	answer	target	condition	amount/trial_num	amount/trial_num_per_block	order
6	23	0.402046535326087	0.013667384995336396	correct	incongruent	test	0.01842948717948718	0.4791666666666667	positive first
6	1	0.2587890625		incorrect	incongruent	test	0.0008012820512820513	0.020833333333333332	positive first
6	198	0.33362432922979796	0.00570841070505876	correct	congruent	baseline	0.15865384615384615	0.495	positive first
6	2	0.3662109375	0.07617187499999999	incorrect	congruent	baseline	0.0016025641025641025	0.005	positive first
6	185	0.3728568412162162	0.0043143220487336315	correct	incongruent	baseline	0.1482371794871795	0.4625	positive first
6	15	0.26223958333333336	0.006315823243915862	incorrect	incongruent	baseline	0.01201923076923077	0.0375	positive first
6	196	0.3208057637117347	0.005189813385156269	correct	congruent	positive	0.15705128205128205	0.49	positive first
6	4	0.4169921875	0.007447956503025749	incorrect	congruent	positive	0.003205128205128205	0.01	positive first
6	188	0.36094892785904253	0.003796429988301356	correct	incongruent	positive	0.15064102564102563	0.47	positive first
6	12	0.25537109375	0.014421027155699016	incorrect	incongruent	positive	0.009615384615384616	0.03	positive first
6	196	0.3102279974489796	0.0043096429030874414	correct	congruent	negative	0.15705128205128205	0.49	positive first
6	4	0.341552734375	0.02798544557682989	incorrect	congruent	negative	0.003205128205128205	0.01	positive first
6	188	0.351313164893617	0.0036828305100020794	correct	incongruent	negative	0.15064102564102563	0.47	positive first
6	12	0.2501627604166667	0.006330940865487216	incorrect	incongruent	negative	0.009615384615384616	0.03	positive first
7	24	0.3240559895833333	0.011948355632349375	correct	congruent	test	0.019230769230769232	0.5	negative first
7	20	0.46875	0.040823349543122035	correct	incongruent	test	0.016025641025641024	0.4166666666666667	negative first
7	4	0.257568359375	0.019352925348732928	incorrect	incongruent	test	0.003205128205128205	0.08333333333333333	negative first
7	198	0.3614810211489899	0.00611390636519277	correct	congruent	baseline	0.15865384615384615	0.495	negative first
7	2	0.3974609375	0.0009765625	incorrect	congruent	baseline	0.0016025641025641025	0.005	negative first
7	193	0.4223405116580311	0.006041401510899719	correct	incongruent	baseline	0.1546474358974359	0.4825	negative first
7	7	0.24428013392857142	0.01291594526106676	incorrect	incongruent	baseline	0.005608974358974359	0.0175	negative first
7	198	0.3451112689393939	0.005275408299329646	correct	congruent	negative	0.15865384615384615	0.495	negative first
7	1	0.4326171875		incorrect	congruent	negative	0.0008012820512820513	0.0025	negative first
7	1	miss	miss	miss	congruent	negative	miss	miss	negative first
7	195	0.4260216346153846	0.006486957134409071	correct	incongruent	negative	0.15625	0.4875	negative first
7	5	0.313671875	0.03631630982259706	incorrect	incongruent	negative	0.004006410256410256	0.0125	negative first
7	199	0.34947687657035176	0.005667659518016978	correct	congruent	positive	0.1594551282051282	0.4975	negative first
7	1	0.353515625		incorrect	congruent	positive	0.0008012820512820513	0.0025	negative first
7	190	0.40753495065789475	0.004710492984189734	correct	incongruent	positive	0.15224358974358973	0.475	negative first
7	10	0.2666015625	0.009177147624396443	incorrect	incongruent	positive	0.008012820512820512	0.025	negative first
8	24	0.3598225911458333	0.026064167805959552	correct	congruent	test	0.019230769230769232	0.5	positive first
